descricao_pedido,quantidade
AGRAVO DE INSTRUMENTO,2
AGRAVO EM RECURSO ESPECIAL,909
AGRAVO EM RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,2
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA RECLAMAÇÃO,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO EM HABEAS CORPUS,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO EM RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO EXECUÇÃO NA EXECUÇÃO EM AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NA AÇÃO RESCISÓRIA,116
AGRAVO INTERNO NA CARTA ROGATÓRIA,9
AGRAVO INTERNO NA DESISTÊNCIA NO AGRAVO EM RECURSO ESPECIAL,3
AGRAVO INTERNO NA DESISTÊNCIA NO RECURSO ESPECIAL,1
AGRAVO INTERNO NA DESISTÊNCIA NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NA DESISTÊNCIA NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NA EXCEÇÃO DE IMPEDIMENTO,1
AGRAVO INTERNO NA EXCEÇÃO DE IMPEDIMENTO/SUSPEIÇÃO NA EXCEÇÃO DE IMPEDIMENTO,1
AGRAVO INTERNO NA EXCEÇÃO DE SUSPEIÇÃO,9
AGRAVO INTERNO NA EXECUÇÃO EM AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,66
AGRAVO INTERNO NA HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,24
AGRAVO INTERNO NA IMPUGNAÇÃO À EXECUÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,24
AGRAVO INTERNO NA MEDIDA CAUTELAR,3
AGRAVO INTERNO NA PETIÇÃO,68
AGRAVO INTERNO NA PETIÇÃO NA AÇÃO RESCISORIA,2
AGRAVO INTERNO NA PETIÇÃO NA EXECUÇÃO EM AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NA PETIÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,7
AGRAVO INTERNO NA PETIÇÃO NA PETIÇÃO,2
AGRAVO INTERNO NA PETIÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NA PETIÇÃO NA RECLAMAÇÃO,4
AGRAVO INTERNO NA PETIÇÃO NA SUSPENSÃO DE SEGURANÇA,1
AGRAVO INTERNO NA PETIÇÃO NA TUTELA CAUTELAR ANTECEDENTE,1
AGRAVO INTERNO NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,42
AGRAVO INTERNO NA PETIÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NA PETIÇÃO NO CONFLITO DE COMPETÊNCIA,1
AGRAVO INTERNO NA PETIÇÃO NO HABEAS CORPUS,1
