processo,tese,ementa,relator,data_publicacao,classe_processual
RE 611601,"É constitucional o art. 22A da Lei nº 8.212/1991, com a redação da Lei nº 10.256/2001, no que instituiu contribuição previdenciária incidente sobre a receita bruta proveniente da comercialização da produção, em substituição ao regime anterior da contribuição incidente sobre a folha de salários.","EMENTA



    Recurso extraordinário. Repercussão geral. Tema nº 281. Tributário. Contribuição previdenciária a cargo da agroindústria. Artigo 1º da Lei nº 10.256, de 9 de julho de 2001, o qual introduziu o art. 22-A na Lei nº 8.212/91. Base de cálculo. Receita bruta proveniente da comercialização da produção. Folha de salário. Artigo 195, inciso I, alínea b, da CF, com a redação da EC nº 20/98. Receita ou faturamento. Técnica substitutiva. Possibilidade no período anterior à EC nº 42/03.



    1. A Lei nº 10.256/01, quanto à contribuição devida pelas agroindústrias, atendeu os requisitos da LC nº 95/98. Em relação à Lei nº 8.212/91, a lei impugnada acrescentou o art. 22-A, para incluir, definitivamente, a agroindústria no setor rural, estabelecendo a contribuição sobre o valor da receita bruta proveniente da comercialização da produção em substituição à contribuição sobre a folha de salários.



    2. O texto constitucional permitia, em momento anterior à EC nº 42/03, a instituição de contribuições substitutivas da contribuição sobre a folha de salários, nele havendo normas amparando os objetivos dessa medida. A incidência de tais contribuições sobre o faturamento ou a receita (sobre essa, após a EC nº 20/98) não importou a criação de novas fontes de custeio da seguridade social, mas o aproveitamento, dentro do poder de conformação do legislador, de fontes já mencionadas na Constituição Federal. Afora isso, a previsão constitucional da contribuição sobre o faturamento ou a receita, a qual dá amparo à COFINS, teve como um dos escopos justamente assegurar maior base de custeio à seguridade social, propiciando o alívio da folha de salários.



    3. Foi fixada a seguinte tese para o Tema nº 281: “É constitucional o art. 22-A da Lei nº 8.212/91, com a redação da Lei nº 10.256/01, no que instituiu contribuição previdenciária incidente sobre a receita bruta proveniente da comercialização da produção, em substituição ao regime anterior da contribuição incidente sobre a folha de salários”.



    4. Recurso extraordinário ao qual se nega provimento.",DIAS TOFFOLI,2023-04-24,RECURSO EXTRAORDINÁRIO
RE 631537 RG,,CRÉDITO CONTRA A FAZENDA – CESSÃO – NATUREZA ALIMENTAR – TRANSMUDAÇÃO DO CRÉDITO ALIMENTÍCIO EM NORMAL. Possui repercussão geral a controvérsia sobre a possibilidade de a cessão de direito creditório alterar a natureza alimentar do precatório.,MARCO AURÉLIO,2011-04-19,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 859376,"É constitucional a utilização de vestimentas ou acessórios relacionados a crença ou religião nas fotos de documentos oficiais, desde que não impeçam a adequada identificação individual, com rosto visível.","Ementa: Direito constitucional. Recurso extraordinário. Repercussão geral. Direito à utilização de vestimentas religiosas em fotos de documentos oficiais.



    I. Caso em exame



    1. O recurso. Recurso extraordinário com repercussão geral reconhecida (Tema 953) contra acórdão que reconheceu o direito ao uso de hábito religioso em fotografia de documento oficial, restringindo o alcance da norma administrativa que veda a utilização de vestuário e acessórios que cubram parte da cabeça e do rosto na foto. 



    2. O fato relevante. Freira foi impedida de utilizar o hábito religioso em fotografia necessária à renovação da CNH.



    3. As decisões anteriores. O juiz de primeiro grau considerou que a imposição de retirada da vestimenta constitui violação à liberdade religiosa e condenou a União e o DETRAN-PR a permitirem que todas as freiras do município possam retirar e renovar a CNH utilizando o hábito religioso. O TRF-4ª Região manteve a condenação.



    II. Questão em discussão



    4. O presente recurso discute se uma obrigação legal relacionada à identificação civil, imposta a todos, pode ser excepcionada pelo direito à liberdade religiosa.



    III. Razões de decidir



    5. A liberdade religiosa, assegurada pelo art. 5º, VI, da Constituição, é essencial para a garantia da dignidade humana, englobando o direito de crer e de viver em conformidade com a sua crença. A liberdade de culto assegura a manifestação pública da fé, inclusive a utilização de roupas e acessórios condizentes com o credo que se professa. 



    6. É verdade que a padronização das regras para emissão de documentos oficiais ajuda a reduzir fraudes e viabilizar a promoção da segurança pública e da segurança jurídica. Contudo, quando o vestuário/acessório relacionado a crença ou a religião não impedir a adequada identificação individual, a obrigação de retirá-lo em fotos de documentos oficiais restringe ilegitimamente o direito à liberdade religiosa. Nessa situação, a proibição viola o princípio da proporcionalidade, uma vez que a medida não se mostra necessária para atingir o fim que se pretende. 



    7. A dignidade humana impõe que se busque a adaptação razoável de medidas estatais sempre que produzirem um impacto desproporcional sobre determinados grupos. Dessa forma, o Estado tem o dever de, na medida do possível, ajustar a aplicação de suas políticas e normas para que não produzam discriminação indireta a grupos vulneráveis.



    IV. Dispositivo e tese



    8. Recurso extraordinário a que se nega provimento. Tese de julgamento: É constitucional a utilização de vestimentas ou acessórios relacionados à crença ou religião nas fotos de documentos oficiais, desde que não impeçam a adequada identificação individual, com rosto visível.



    __________



    Atos normativos citados: Constituição Federal, art. 5º, VI e VIII.



    Jurisprudência citada: ADPF 811 (2021), Rel. Min. Gilmar Mendes.",LUÍS ROBERTO BARROSO,2024-12-10,RECURSO EXTRAORDINÁRIO
RE 1479602 RG,,"Ementa: Direito tributário. Recurso extraordinário. Imunidade recíproca. IPTU. Bens afetados à concessão de serviço público. Repercussão Geral.



    I. O caso em exame



    1. Recurso extraordinário contra acórdão do Tribunal de Justiça de Minas Gerais que afirmou a incidência de imposto territorial e predial urbano - IPTU sobre bem público afetado à concessão de serviço de transporte ferroviário.



    II. A questão jurídica em discussão



    2. A questão em discussão consiste em saber se o arrendamento de bem imóvel da União para concessionária de serviço público de transporte ferroviário afasta a imunidade tributária recíproca, com a consequente incidência de IPTU sobre o imóvel afetado à prestação do serviço.



    III. A decisão e seus fundamentos



    3. Constitui questão constitucional relevante definir se a concessão de serviço público afasta a imunidade tributária recíproca para fins de incidência de IPTU sobre bens públicos afetados à prestação do serviço.



    IV. Dispositivo



    4. Repercussão geral reconhecida para a seguinte questão constitucional: saber se a concessão de serviço público afasta a imunidade tributária recíproca para fins de incidência de IPTU sobre bens públicos afetados à prestação do serviço.",MINISTRO PRESIDENTE,2024-04-16,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 842844,"A trabalhadora gestante tem direito ao gozo de licença-maternidade e à estabilidade provisória, independentemente do regime jurídico aplicável, se contratual ou administrativo, ainda que ocupe cargo em comissão ou seja contratada por tempo determinado.","EMENTA: RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL RECONHECIDA. CONSTITUCIONAL. ADMINISTRATIVO. SERVIDORA GESTANTE. GRAVIDEZ DURANTE O PERÍODO DA PRESTAÇÃO DOS SERVIÇOS. VÍNCULO COM A ADMINISTRAÇÃO PÚBLICA POR CARGO COMISSIONADO, NÃO EFETIVO, OU POR CONTRATO TEMPORÁRIO. DIREITO À LICENÇA MATERNIDADE E À ESTABILIDADE PROVISÓRIA. ARTIGO 7º, XVIII, DA CONSTITUIÇÃO FEDERAL. ARTIGO 10, INCISO II,  B, DO ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS. GARANTIAS CONSTITUCIONAIS RECONHECIDAS A TODAS AS TRABALHADORAS. REAFIRMAÇÃO DE JURISPRUDÊNCIA. RECURSO EXTRAORDINÁRIO A QUE SE NEGA PROVIMENTO.



    1. As medidas adotadas pelo Estado, como a proteção à maternidade, são de discriminação positiva, não constituindo prerrogativa injustificada ou abusiva, pois o Estado favorece as mães como forma de tratar as diferenças naturais e amplamente justas entre os sexos, além de proteger o nascituro e o infante.



    2. O direito à licença-maternidade tem por razão o reconhecimento das dificuldades fisiológicas e sociais das mulheres, dadas as circunstancias pós-parto, como a recuperação físico-psíquica da mãe e amamentação e cuidado do recém-nascido, além da possibilidade do convívio familiar nos primeiros meses de vida da criança.



    3. A Constituição Federal de 1988 se comprometeu com valores como a igualdade de gênero e a liberdade reprodutiva, sendo certo que a condição da trabalhadora gestante goza de proteção reforçada, com respeito à maternidade, à família e ao planejamento familiar.



    4. O Texto Constitucional foi expresso em ampliar a proteção jurídica à trabalhadora gestante, a fim de garantir como direito fundamental a licença maternidade (art. 7º XVIIII, CF/1988), além de assegurar a estabilidade provisória no emprego.



    5. A licença-maternidade, prevista como direito indisponível, relativo ao repouso remunerado, pela Carta Magna de 1988, impõe importantíssimo meio de proteção não só à mãe trabalhadora, mas, sobretudo, ao nascituro, salvaguardando a unidade familiar (art. 226 da CF/1988), como também a assistência das necessidades essenciais da criança pela família, pelo Estado e pela sociedade (art. 227 da CF/1988).



    6. O tempo de convívio familiar é uma das necessidades descritas no Texto Constitucional, na medida em que, por ocasião do recente nascimento, representa vantagens sensíveis ao desenvolvimento da criança, pois que a genitora poderá atender-lhe as necessidades básicas.



    7. A licença-maternidade ostenta uma dimensão plural, recaindo sobre a mãe, o nascituro e o infante, além de proteger a própria sociedade, considerada a defesa da família e a segurança à maternidade, de modo que o alcance do benefício não mais comporta uma exegese individualista, fundada exclusivamente na recuperação da mulher após o parto.



    8. A Constituição alça a proteção da maternidade a direito social (CF, art. 6º c/c art. 201), estabelecendo como objetivos da assistência social a proteção à família, à maternidade, à infância, à adolescência e à velhice (CF, art. 203, inc. I). Assim, revelou-se ser dever do Estado assegurar especial proteção ao vínculo maternal.



    9. A estabilidade provisória relaciona-se à dignidade da pessoa humana (art. 1º, III, da CF/1988), em vista que tal amparo abrange não apenas a subsistência da empregada gestante, como também a vida do nascituro e o desenvolvimento sadio do bebê em seus primeiros meses de vida.



    10. A relevância da proteção à maternidade na ordem jurídica vigente impõe ao intérprete, dentre as diversas alternativas hermenêuticas possíveis, optar por aquela que confira máxima efetividade às finalidades perseguidas pelo Texto Constitucional, sendo que a tolerância à exclusão da proteção à maternidade ao argumento da precariedade dos vínculos com a Administração Pública vai de encontro aos objetivos constitucionais.



    11. A garantia de emprego contra despedida arbitrária ou sem justa causa tem por objeto primordial a proteção do nascituro, o que também acaba por salvaguardar a trabalhadora gestante beneficiária da condição material protetora da natalidade



    12. O princípio da isonomia impede que haja diferenciação entre as modalidades contratuais de servidoras públicas gestantes, reconhecendo àquelas ocupantes de cargo em comissão ou em trabalho temporário os direitos de concessão da licença-maternidade e da estabilidade provisória.



    13. O direito conferido pela Constituição Federal de 1988 à universalidade das servidoras é a proteção constitucional uniformizadora à maternidade. O estado gravídico é o bastante a se acionar o direito, pouco importando a essa consecução a modalidade do trabalho.



    14. A proteção ao trabalho da mulher gestante é medida justa e necessária, independente da natureza jurídica do vínculo empregatício (celetista, temporário, estatutário) e da modalidade do prazo do contrato de trabalho e da forma de provimento (em caráter efetivo ou em comissão, demissível ad nutum).



    15. O cenário jurídico-normativo exposto impõe ao Supremo Tribunal Federal um esforço de integração dos valores contrapostos. O direito à vida e à dignidade humana, como direitos fundamentais de salutar importância, sobrepujam outros interesses ou direitos, que, balizados pela técnica da ponderação, orientada pelos princípios da proporcionalidade e razoabilidade, cedem lugar à proteção do nascituro.



    16. Ainda que possa de certa forma causar restrição à liberdade decisória de agentes públicos, a proteção constitucional observa finalidade mais elevada: a de proteger a mãe e a criança. O custo social do não reconhecimento de tais direitos, uma vez em jogo valores os quais a Constituição confere especial proteção, é consideravelmente maior que a restrição à prerrogativa de nomear e exonerar dos gestores públicos.



    17. A jurisprudência do Supremo Tribunal Federal assegura os direitos às trabalhadoras gestantes ocupantes de cargos comissionados ou contratadas temporariamente, conforme demonstram os precedentes, impondo-se a sua observância para a inferência de que as garantias constitucionais de proteção à gestante e à criança devem prevalecer sob os efeitos da natureza de quaisquer vínculos com a Administração Pública.



    18. Ex positis, conheço do recurso extraordinário e a ele nego provimento.



    19. Em sede de repercussão geral, a tese jurídica fica assim assentada: A trabalhadora gestante tem direito ao gozo de licença-maternidade e à estabilidade provisória, independentemente do regime jurídico aplicável, se contratual ou administrativo, ainda que ocupe cargo em comissão ou seja contratada por tempo determinado, nos termos dos arts. 7º, XVIII; 37, II; e 39, § 3º; da Constituição Federal, e 10, II, b, do Ato das Disposições Constitucionais Transitórias.",LUIZ FUX,2023-12-06,RECURSO EXTRAORDINÁRIO
ARE 1473591 RG,,"Ementa: Direito Administrativo e previdenciário. Recurso extraordinário com agravo. Reestruturação de carreira de magistério municipal. Paridade remuneratória.



    I. O caso em exame



    1. Recurso extraordinário com agravo contra acórdão da Turma Recursal de Jurisdição Exclusiva – Belo Horizonte, Betim e Contagem, que determinou a revisão de aposentadoria de professor inativo, de modo a observar o padrão remuneratório fixado pela Lei nº 11.381/2022 de Belo Horizonte, que reestruturou a carreira de magistério do Município.



    II. A questão jurídica em discussão



    2. A questão em discussão consiste em saber se a Lei municipal nº 11.381/2022, ao prever dois novos níveis na carreira do magistério, mas com a possibilidade de progressão apenas para os professores em atividade, violou a regra de paridade (CRFB/1988, art. 40, § 8º, na redação anterior à EC 41/2003).



    III. Solução do problema



    3. Constitui questão constitucional relevante definir se condicionar o acesso a novos níveis de carreira ao atendimento de requisitos que não podem ser cumpridos por servidores inativos, como a submissão a processo de avaliação de desempenho, viola o direito à paridade.



    Dispositivo



    4. Repercussão geral reconhecida para a seguinte questão constitucional: saber se viola o direito à paridade condicionar o acesso a novos níveis de carreira a requisitos que são incompatíveis com a condição de servidor inativo.",MINISTRO PRESIDENTE,2024-03-21,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 1212272,"1. É permitido ao paciente, no gozo pleno de sua capacidade civil, recusar-se a se submeter a tratamento de saúde, por motivos religiosos. A recusa a tratamento de saúde, por razões religiosas, é condicionada à decisão inequívoca, livre, informada e esclarecida do paciente, inclusive, quando veiculada por meio de diretivas antecipadas de vontade. 2. É possível a realização de procedimento médico, disponibilizado a todos pelo sistema público de saúde, com a interdição da realização de transfusão sanguínea ou outra medida excepcional, caso haja viabilidade técnico-científica de sucesso, anuência da equipe médica com a sua realização e decisão inequívoca, livre, informada e esclarecida do paciente.","Direito constitucional. Recurso extraordinário submetido à sistemática da repercussão geral. Tema 1.069. Direito de recusa à transfusão de sangue. Liberdade religiosa e autodeterminação. Pessoa adulta e capaz. Ausência de impacto na esfera jurídica de terceiros. Recurso extraordinário julgado prejudicado.



    I. Caso em exame



    1. Trata-se de recurso extraordinário interposto contra acórdão da Turma Recursal da Seção Judiciária de Alagoas, que negou provimento a recurso e, em consequência, manteve decisão que impediu o paciente, testemunha de Jeová, a submeter-se a procedimento cirúrgico sem a obrigatoriedade de assinatura de termo de consentimento para eventual realização de transfusão de sangue.



    II. Questão em discussão



    2. A questão em discussão consiste em examinar a possibilidade de paciente submeter-se a tratamento médico disponível na rede pública sem a necessidade de assinatura de termo de consentimento para eventual realização de transfusão de sangue, em respeito a sua convicção religiosa.



    III. Razões de decidir



    3. Uma vez reconhecido que a liberdade religiosa protege o agir de acordo com a própria fé e que a autodeterminação permite aos indivíduos dirigirem a própria vida, tomando desde as decisões mais elementares às mais fundamentais, o Estado deve assegurar às testemunhas de Jeová adultas, conscientes e informadas o direito de não se submeterem a transfusões de sangue, desde que isso não afete o direito de terceiros.



    4. A autodeterminação e a liberdade de crença, quando houver manifestação livre, consciente e informada de pessoa capaz civilmente em sentido contrário à submissão a tratamento, impedem a atuação forçada dos profissionais de saúde envolvidos, ainda que presente risco iminente de morte do paciente.



    5. A atuação médica em respeito à legítima opção realizada pelo paciente não pode ser caracterizada, a priori, como uma conduta criminosa, tampouco há que se falar em responsabilidade civil do Estado ou do agente responsável em razão de danos sofridos pela ausência de emprego de meios não aceitos pelo paciente.



    IV. Dispositivo e tese



    6. Recurso extraordinário julgado prejudicado.



    Teses de julgamento: “1. É permitido ao paciente, no gozo pleno de sua capacidade civil, a recusa, por motivos religiosos, de submeter-se a tratamento de saúde. A recusa, por razões religiosas, a tratamento de saúde é condicionada à decisão inequívoca, livre, informada e esclarecida do paciente, inclusive, quando veiculada por meio de diretivas antecipadas de vontade. 2. É possível a realização de procedimento médico, disponibilizado a todos pelo sistema público de saúde, com a interdição da realização de transfusão sanguínea ou outra medida excepcional, caso haja viabilidade técnico-científica de sucesso, anuência da equipe médica com a sua realização e decisão inequívoca, livre, informada e esclarecida do paciente.”",GILMAR MENDES,2024-11-26,RECURSO EXTRAORDINÁRIO
RE 1455046 RG,,"Ementa: Direito constitucional e previdenciário. Recurso extraordinário. Auxílio-doença. Dispensa de carência para gestação de alto risco. Repercussão geral.



    I. Caso em exame



    1. Recurso extraordinário contra acórdão da Turma Nacional de Uniformização dos Juizados Especiais Federais, que fixou tese assegurando o pagamento de auxílio-doença a segurada em gestação de alto risco, independentemente de período de carência. Isso ao fundamento de que a lista de doenças que dispensam o período de carência admite interpretação extensiva para a proteção à maternidade.



    II. Questão em discussão



    2. A questão em discussão consiste em saber se é possível conceder auxílio-doença para segurada em gestação de alto risco sem o cumprimento de prazo de carência, apesar de não haver previsão em lista de patologias que autorizam a isenção.



    III. Razões de decidir



    3. O STF, no julgamento da ADI 2.110, afirmou que a exigência de período de carência para o recebimento de salário-maternidade por contribuintes individuais e seguradas especiais protege de forma insuficiente a maternidade e a infância (CF/1988, art. 6º), bem como os direitos das crianças, em especial o direito à vida e à convivência familiar (CF/1988, art. 227). De igual modo, na ADI 5.938, o Plenário afirmou que a proteção à maternidade e a integral proteção à criança são direitos irrenunciáveis.



    4. Por ocasião do julgamento do RE 661.256 (Tema 503/RG), no entanto, o STF afirmou que “somente lei pode criar benefícios e vantagens previdenciárias”. De igual forma, fixou tese de repercussão geral (Tema 524/RG, RE 656.860) no sentido de que “a concessão de aposentadoria de servidor público por invalidez com proventos integrais exige que a doença incapacitante esteja prevista em rol taxativo da legislação de regência”. 



    5. Constitui questão constitucional relevante definir se a proteção à maternidade e à infância autorizam a concessão de auxílio-doença a segurada do Regime Geral de Previdência Social, independentemente de previsão específica em lista que dispensa o período de carência. Identificação de grande volume de ações sobre o tema.



    IV. Dispositivo 



    6. Repercussão geral reconhecida para a seguinte questão constitucional: saber se a proteção à maternidade e à infância dispensam o período de carência para a concessão do benefício previdenciário de auxílio-doença a segurada em gestação de alto risco.",MINISTRO PRESIDENTE,2024-11-14,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1464013 RG,,"Ementa: Direito constitucional e penal. Recurso extraordinário. Retroatividade de lei. Pacote anticrime. Combinação de leis penais. repercussão Geral.



    I. Caso em exame



    1. Recurso extraordinário do Ministério Público contra acórdão que determinou a aplicação retroativa do art. 112, VI, a, da Lei de Execuções Penais (redação da Lei nº 13.964/2019), para garantir a progressão de regime de condenado por crime hediondo, mas sem a incidência da vedação ao livramento condicional e à saída temporária, prevista no mesmo ato normativo. 



    II. Questão em discussão



    2. A questão em discussão consiste em saber se é possível aplicar retroativamente apenas uma parte de lei penal sobre progressão de pena, decotando-se a vedação ao livramento condicional e à saída temporária prevista na mesma lei, porque mais gravosa ao apenado por crime hediondo.



    III. Razões de decidir



    3. O Supremo Tribunal Federal, no julgamento do Tema 169/RG (RE 600.817), sobre a aplicação de partes mais benéficas da Lei nº 11.343/2006 para fatos anteriores a sua vigência, reconheceu a repercussão geral de controvérsia sobre a combinação de partes de leis penais.



    4. Constitui questão constitucional relevante a divergência sobre a aplicação retroativa de progressão de regime prevista no art. 112, VI, a, da LEP, sem a incidência de parte da lei nova relacionada à vedação para concessão de livramento condicional e saída temporária. Grande volume de ações a respeito. 



    IV. Dispositivo



    5. Repercussão geral reconhecida para a seguinte questão constitucional: saber se é possível aplicar retroativamente apenas a parte mais benéfica de lei penal sobre progressão de pena (art. 112, VI, a, da LEP), decotando-se a vedação ao livramento condicional e à saída temporária prevista na mesma lei, porque mais gravosa ao apenado por crime hediondo.",MINISTRO PRESIDENTE,2024-09-12,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 727851 RG,,"IPVA – AUTOMÓVEL – ALIENAÇÃO FIDUCIÁRIA – RELAÇÃO JURÍDICA A ENVOLVER O ESTABELECIMENTO FINANCEIRO E O MUNICÍPIO – IMUNIDADE RECÍPROCA ADMITIDA NA ORIGEM – RECURSO EXTRAORDINÁRIO – REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral a controvérsia relativa à incidência da imunidade recíproca, prevista no artigo 150, inciso VI, alínea “a”, da Carta da República, no tocante ao Imposto sobre a Propriedade de Veículos Automotores – IPVA a recair em automóvel alienado fiduciariamente por instituição financeira a município.",MARCO AURÉLIO,2013-10-29,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
